"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 25 01:37:06 CET 2022","Sun Dec 25 01:37:12 CET 2022","5798","Metric e2e test","new Metric page","","","","should create an instance of Metric",""
"passed","Sun Dec 25 01:37:15 CET 2022","Sun Dec 25 01:37:17 CET 2022","2323","","Notification e2e test","","","","Notifications menu should load Notifications page",""
"failed","Sun Dec 25 01:31:09 CET 2022","Sun Dec 25 01:31:15 CET 2022","6396","Measure e2e test","Measure page","with existing value","","","edit button click should load edit Measure page and save",""
"failed","Sun Dec 25 01:17:38 CET 2022","Sun Dec 25 01:17:43 CET 2022","4916","","/account/register","","","","register a valid user",""
"failed","Sun Dec 25 01:22:30 CET 2022","Sun Dec 25 01:22:35 CET 2022","5723","Alert e2e test","Alert page","with existing value","","","detail button click should load details Alert page",""
"failed","Sun Dec 25 01:48:31 CET 2022","Sun Dec 25 01:48:37 CET 2022","6176","Staff e2e test","Staff page","with existing value","","","last delete button click should delete instance of Staff",""
"failed","Sun Dec 25 01:36:15 CET 2022","Sun Dec 25 01:36:21 CET 2022","5975","Metric e2e test","Metric page","with existing value","","","edit button click should load edit Metric page and go back",""
"failed","Sun Dec 25 01:17:23 CET 2022","Sun Dec 25 01:17:28 CET 2022","5110","","/account/register","","","","requires password and confirm password have not the same value",""
"failed","Sun Dec 25 01:32:14 CET 2022","Sun Dec 25 01:32:19 CET 2022","5375","MeasureRequest e2e test","MeasureRequest page","create button click","","","should load create MeasureRequest page",""
"failed","Sun Dec 25 01:24:33 CET 2022","Sun Dec 25 01:24:40 CET 2022","6324","Establishment e2e test","Establishment page","with existing value","","","detail button click should load details Establishment page",""
"skipped","Sun Dec 25 01:13:23 CET 2022","Sun Dec 25 01:13:23 CET 2022","0","","login modal","","","","go to login page when successfully logs in",""
"failed","Sun Dec 25 01:22:47 CET 2022","Sun Dec 25 01:22:53 CET 2022","6126","Alert e2e test","Alert page","with existing value","","","edit button click should load edit Alert page and go back",""
"failed","Sun Dec 25 01:28:39 CET 2022","Sun Dec 25 01:28:45 CET 2022","5847","Hospitalization e2e test","Hospitalization page","with existing value","","","detail button click should load details Hospitalization page",""
"failed","Sun Dec 25 01:16:08 CET 2022","Sun Dec 25 01:16:13 CET 2022","5190","","/account/register","","","","requires username",""
"failed","Sun Dec 25 01:44:29 CET 2022","Sun Dec 25 01:44:35 CET 2022","5938","Reminder e2e test","Reminder page","with existing value","","","edit button click should load edit Reminder page and save",""
"failed","Sun Dec 25 01:31:48 CET 2022","Sun Dec 25 01:31:56 CET 2022","7580","Measure e2e test","new Measure page","","","","should create an instance of Measure",""
"failed","Sun Dec 25 01:17:08 CET 2022","Sun Dec 25 01:17:13 CET 2022","5071","","/account/register","","","","requires password and confirm password to be same",""
"failed","Sun Dec 25 01:20:23 CET 2022","Sun Dec 25 01:20:28 CET 2022","5469","/admin","/metrics","","","","should load the page",""
"failed","Sun Dec 25 01:35:58 CET 2022","Sun Dec 25 01:36:04 CET 2022","5946","Metric e2e test","Metric page","with existing value","","","detail button click should load details Metric page",""
"failed","Sun Dec 25 01:29:13 CET 2022","Sun Dec 25 01:29:19 CET 2022","6067","Hospitalization e2e test","Hospitalization page","with existing value","","","edit button click should load edit Hospitalization page and save",""
"failed","Sun Dec 25 01:24:14 CET 2022","Sun Dec 25 01:24:20 CET 2022","6124","Establishment e2e test","Establishment page","create button click","","","should load create Establishment page",""
"failed","Sun Dec 25 01:40:04 CET 2022","Sun Dec 25 01:40:10 CET 2022","5821","Patient e2e test","Patient page","with existing value","","","edit button click should load edit Patient page and save",""
"failed","Sun Dec 25 01:20:59 CET 2022","Sun Dec 25 01:21:06 CET 2022","6183","/admin","/logs","","","","should load the page",""
"passed","Sun Dec 25 01:21:47 CET 2022","Sun Dec 25 01:21:53 CET 2022","5753","","Alert e2e test","","","","Alerts menu should load Alerts page",""
"failed","Sun Dec 25 01:25:08 CET 2022","Sun Dec 25 01:25:14 CET 2022","6079","Establishment e2e test","Establishment page","with existing value","","","edit button click should load edit Establishment page and save",""
"passed","Sun Dec 25 01:45:26 CET 2022","Sun Dec 25 01:45:29 CET 2022","2933","","Role e2e test","","","","Roles menu should load Roles page",""
"failed","Sun Dec 25 01:20:06 CET 2022","Sun Dec 25 01:20:11 CET 2022","5962","/admin","/user-management","","","","should load the page",""
"failed","Sun Dec 25 01:29:30 CET 2022","Sun Dec 25 01:29:36 CET 2022","6088","Hospitalization e2e test","Hospitalization page","with existing value","","","last delete button click should delete instance of Hospitalization",""
"failed","Sun Dec 25 01:36:32 CET 2022","Sun Dec 25 01:36:38 CET 2022","5867","Metric e2e test","Metric page","with existing value","","","edit button click should load edit Metric page and save",""
"failed","Sun Dec 25 01:27:54 CET 2022","Sun Dec 25 01:28:04 CET 2022","10149","Flag e2e test","new Flag page","","","","should create an instance of Flag",""
"broken","Sun Dec 25 01:25:43 CET 2022","Sun Dec 25 01:25:49 CET 2022","5954","Establishment e2e test","new Establishment page","","","","should create an instance of Establishment",""
"failed","Sun Dec 25 01:41:05 CET 2022","Sun Dec 25 01:41:12 CET 2022","6391","Permission e2e test","Permission page","create button click","","","should load create Permission page",""
"failed","Sun Dec 25 01:27:13 CET 2022","Sun Dec 25 01:27:18 CET 2022","5632","Flag e2e test","Flag page","with existing value","","","edit button click should load edit Flag page and save",""
"passed","Sun Dec 25 01:25:52 CET 2022","Sun Dec 25 01:25:58 CET 2022","5845","","Flag e2e test","","","","Flags menu should load Flags page",""
"failed","Sun Dec 25 01:38:35 CET 2022","Sun Dec 25 01:38:41 CET 2022","6077","Notification e2e test","Notification page","with existing value","","","last delete button click should delete instance of Notification",""
"failed","Sun Dec 25 01:44:11 CET 2022","Sun Dec 25 01:44:18 CET 2022","6475","Reminder e2e test","Reminder page","with existing value","","","edit button click should load edit Reminder page and go back",""
"broken","Sun Dec 25 01:46:48 CET 2022","Sun Dec 25 01:46:48 CET 2022","635","Role e2e test","Role page","with existing value","","","last delete button click should delete instance of Role",""
"passed","Sun Dec 25 01:28:08 CET 2022","Sun Dec 25 01:28:11 CET 2022","2618","","Hospitalization e2e test","","","","Hospitalizations menu should load Hospitalizations page",""
"failed","Sun Dec 25 01:37:44 CET 2022","Sun Dec 25 01:37:50 CET 2022","5785","Notification e2e test","Notification page","with existing value","","","detail button click should load details Notification page",""
"failed","Sun Dec 25 01:21:19 CET 2022","Sun Dec 25 01:21:25 CET 2022","6264","/admin","/configuration","","","","should load the page",""
"failed","Sun Dec 25 01:26:55 CET 2022","Sun Dec 25 01:27:01 CET 2022","5616","Flag e2e test","Flag page","with existing value","","","edit button click should load edit Flag page and go back",""
"skipped","Sun Dec 25 01:13:23 CET 2022","Sun Dec 25 01:13:23 CET 2022","1","","login modal","","","","requires username",""
"failed","Sun Dec 25 01:21:37 CET 2022","Sun Dec 25 01:21:43 CET 2022","6258","/admin","/docs","","","","should load the page",""
"failed","Sun Dec 25 01:31:27 CET 2022","Sun Dec 25 01:31:33 CET 2022","6130","Measure e2e test","Measure page","with existing value","","","last delete button click should delete instance of Measure",""
"failed","Sun Dec 25 01:30:36 CET 2022","Sun Dec 25 01:30:41 CET 2022","5742","Measure e2e test","Measure page","with existing value","","","detail button click should load details Measure page",""
"failed","Sun Dec 25 01:44:46 CET 2022","Sun Dec 25 01:44:52 CET 2022","5940","Reminder e2e test","Reminder page","with existing value","","","last delete button click should delete instance of Reminder",""
"failed","Sun Dec 25 01:28:56 CET 2022","Sun Dec 25 01:29:02 CET 2022","5724","Hospitalization e2e test","Hospitalization page","with existing value","","","edit button click should load edit Hospitalization page and go back",""
"failed","Sun Dec 25 01:47:23 CET 2022","Sun Dec 25 01:47:29 CET 2022","5681","Staff e2e test","Staff page","create button click","","","should load create Staff page",""
"failed","Sun Dec 25 01:23:47 CET 2022","Sun Dec 25 01:23:56 CET 2022","9355","Alert e2e test","new Alert page","","","","should create an instance of Alert",""
"passed","Sun Dec 25 01:29:58 CET 2022","Sun Dec 25 01:30:02 CET 2022","3874","","Measure e2e test","","","","Measures menu should load Measures page",""
"failed","Sun Dec 25 01:37:28 CET 2022","Sun Dec 25 01:37:33 CET 2022","5632","Notification e2e test","Notification page","create button click","","","should load create Notification page",""
"passed","Sun Dec 25 01:42:42 CET 2022","Sun Dec 25 01:42:52 CET 2022","9828","","Reminder e2e test","","","","Reminders menu should load Reminders page",""
"failed","Sun Dec 25 01:15:38 CET 2022","Sun Dec 25 01:15:43 CET 2022","5578","","/account/register","","","","should be accessible through menu",""
"failed","Sun Dec 25 01:39:48 CET 2022","Sun Dec 25 01:39:54 CET 2022","5378","Patient e2e test","Patient page","with existing value","","","edit button click should load edit Patient page and go back",""
"failed","Sun Dec 25 01:16:23 CET 2022","Sun Dec 25 01:16:28 CET 2022","5119","","/account/register","","","","should not accept invalid email",""
"failed","Sun Dec 25 01:39:16 CET 2022","Sun Dec 25 01:39:21 CET 2022","5158","Patient e2e test","Patient page","create button click","","","should load create Patient page",""
"passed","Sun Dec 25 01:47:09 CET 2022","Sun Dec 25 01:47:11 CET 2022","2326","","Staff e2e test","","","","Staff menu should load Staff page",""
"failed","Sun Dec 25 01:30:52 CET 2022","Sun Dec 25 01:30:58 CET 2022","5625","Measure e2e test","Measure page","with existing value","","","edit button click should load edit Measure page and go back",""
"failed","Sun Dec 25 01:46:34 CET 2022","Sun Dec 25 01:46:41 CET 2022","6136","Role e2e test","Role page","with existing value","","","edit button click should load edit Role page and save",""
"failed","Sun Dec 25 01:33:20 CET 2022","Sun Dec 25 01:33:26 CET 2022","5979","MeasureRequest e2e test","MeasureRequest page","with existing value","","","last delete button click should delete instance of MeasureRequest",""
"passed","Sun Dec 25 01:32:00 CET 2022","Sun Dec 25 01:32:02 CET 2022","2157","","MeasureRequest e2e test","","","","MeasureRequests menu should load MeasureRequests page",""
"failed","Sun Dec 25 01:23:22 CET 2022","Sun Dec 25 01:23:28 CET 2022","5943","Alert e2e test","Alert page","with existing value","","","last delete button click should delete instance of Alert",""
"failed","Sun Dec 25 01:36:49 CET 2022","Sun Dec 25 01:36:55 CET 2022","5855","Metric e2e test","Metric page","with existing value","","","last delete button click should delete instance of Metric",""
"failed","Sun Dec 25 01:27:29 CET 2022","Sun Dec 25 01:27:35 CET 2022","5933","Flag e2e test","Flag page","with existing value","","","last delete button click should delete instance of Flag",""
"broken","Sun Dec 25 01:45:11 CET 2022","Sun Dec 25 01:45:19 CET 2022","8705","Reminder e2e test","new Reminder page","","","","should create an instance of Reminder",""
"failed","Sun Dec 25 01:42:33 CET 2022","Sun Dec 25 01:42:39 CET 2022","6293","Permission e2e test","new Permission page","","","","should create an instance of Permission",""
"failed","Sun Dec 25 01:16:53 CET 2022","Sun Dec 25 01:16:58 CET 2022","5237","","/account/register","","","","requires first password",""
"broken","Sun Dec 25 01:48:48 CET 2022","Sun Dec 25 01:48:54 CET 2022","5484","Staff e2e test","new Staff page","","","","should create an instance of Staff",""
"failed","Sun Dec 25 01:33:03 CET 2022","Sun Dec 25 01:33:08 CET 2022","5880","MeasureRequest e2e test","MeasureRequest page","with existing value","","","edit button click should load edit MeasureRequest page and save",""
"failed","Sun Dec 25 01:40:40 CET 2022","Sun Dec 25 01:40:47 CET 2022","7108","Patient e2e test","new Patient page","","","","should create an instance of Patient",""
"failed","Sun Dec 25 01:33:57 CET 2022","Sun Dec 25 01:34:03 CET 2022","5369","Message e2e test","Message page","create button click","","","should load create Message page",""
"failed","Sun Dec 25 01:42:14 CET 2022","Sun Dec 25 01:42:20 CET 2022","6061","Permission e2e test","Permission page","with existing value","","","last delete button click should delete instance of Permission",""
"failed","Sun Dec 25 01:20:40 CET 2022","Sun Dec 25 01:20:47 CET 2022","6230","/admin","/health","","","","should load the page",""
"failed","Sun Dec 25 01:39:32 CET 2022","Sun Dec 25 01:39:38 CET 2022","5513","Patient e2e test","Patient page","with existing value","","","detail button click should load details Patient page",""
"failed","Sun Dec 25 01:32:46 CET 2022","Sun Dec 25 01:32:52 CET 2022","5510","MeasureRequest e2e test","MeasureRequest page","with existing value","","","edit button click should load edit MeasureRequest page and go back",""
"failed","Sun Dec 25 01:16:38 CET 2022","Sun Dec 25 01:16:43 CET 2022","4941","","/account/register","","","","requires email in correct format",""
"failed","Sun Dec 25 01:34:47 CET 2022","Sun Dec 25 01:34:52 CET 2022","5485","Message e2e test","Message page","with existing value","","","edit button click should load edit Message page and save",""
"passed","Sun Dec 25 01:39:03 CET 2022","Sun Dec 25 01:39:05 CET 2022","2127","","Patient e2e test","","","","Patients menu should load Patients page",""
"failed","Sun Dec 25 01:26:17 CET 2022","Sun Dec 25 01:26:27 CET 2022","9285","Flag e2e test","Flag page","create button click","","","should load create Flag page",""
"failed","Sun Dec 25 01:35:03 CET 2022","Sun Dec 25 01:35:09 CET 2022","5821","Message e2e test","Message page","with existing value","","","last delete button click should delete instance of Message",""
"passed","Sun Dec 25 01:35:28 CET 2022","Sun Dec 25 01:35:30 CET 2022","2015","","Metric e2e test","","","","Metrics menu should load Metrics page",""
"broken","Sun Dec 25 01:17:58 CET 2022","Sun Dec 25 01:18:03 CET 2022","4702","","forgot your password","","","","requires email",""
"failed","Sun Dec 25 01:24:51 CET 2022","Sun Dec 25 01:24:57 CET 2022","5662","Establishment e2e test","Establishment page","with existing value","","","edit button click should load edit Establishment page and go back",""
"failed","Sun Dec 25 01:38:53 CET 2022","Sun Dec 25 01:38:59 CET 2022","6362","Notification e2e test","new Notification page","","","","should create an instance of Notification",""
"failed","Sun Dec 25 01:41:57 CET 2022","Sun Dec 25 01:42:03 CET 2022","5593","Permission e2e test","Permission page","with existing value","","","edit button click should load edit Permission page and save",""
"broken","Sun Dec 25 01:19:30 CET 2022","Sun Dec 25 01:19:44 CET 2022","14003","","/account/settings","","","","should not be able to change 'user' email to same value",""
"failed","Sun Dec 25 01:40:21 CET 2022","Sun Dec 25 01:40:27 CET 2022","5765","Patient e2e test","Patient page","with existing value","","","last delete button click should delete instance of Patient",""
"failed","Sun Dec 25 01:19:10 CET 2022","Sun Dec 25 01:19:17 CET 2022","7031","","/account/settings","","","","should be able to change 'user' lastname settings",""
"failed","Sun Dec 25 01:47:40 CET 2022","Sun Dec 25 01:47:46 CET 2022","5843","Staff e2e test","Staff page","with existing value","","","detail button click should load details Staff page",""
"broken","Sun Dec 25 01:47:00 CET 2022","Sun Dec 25 01:47:05 CET 2022","5754","Role e2e test","new Role page","","","","should create an instance of Role",""
"failed","Sun Dec 25 01:30:17 CET 2022","Sun Dec 25 01:30:24 CET 2022","7710","Measure e2e test","Measure page","create button click","","","should load create Measure page",""
"broken","Sun Dec 25 01:35:19 CET 2022","Sun Dec 25 01:35:25 CET 2022","5658","Message e2e test","new Message page","","","","should create an instance of Message",""
"failed","Sun Dec 25 01:46:16 CET 2022","Sun Dec 25 01:46:23 CET 2022","6649","Role e2e test","Role page","with existing value","","","edit button click should load edit Role page and go back",""
"failed","Sun Dec 25 01:13:52 CET 2022","Sun Dec 25 01:13:59 CET 2022","6377","","/account/password","","","","should be accessible through menu",""
"passed","Sun Dec 25 01:33:44 CET 2022","Sun Dec 25 01:33:46 CET 2022","2196","","Message e2e test","","","","Messages menu should load Messages page",""
"failed","Sun Dec 25 01:32:29 CET 2022","Sun Dec 25 01:32:35 CET 2022","5914","MeasureRequest e2e test","MeasureRequest page","with existing value","","","detail button click should load details MeasureRequest page",""
"failed","Sun Dec 25 01:14:43 CET 2022","Sun Dec 25 01:14:48 CET 2022","5573","","/account/password","","","","requires confirm new password",""
"broken","Sun Dec 25 01:33:36 CET 2022","Sun Dec 25 01:33:41 CET 2022","5183","MeasureRequest e2e test","new MeasureRequest page","","","","should create an instance of MeasureRequest",""
"failed","Sun Dec 25 01:43:23 CET 2022","Sun Dec 25 01:43:39 CET 2022","15814","Reminder e2e test","Reminder page","create button click","","","should load create Reminder page",""
"failed","Sun Dec 25 01:45:40 CET 2022","Sun Dec 25 01:45:45 CET 2022","5174","Role e2e test","Role page","create button click","","","should load create Role page",""
"failed","Sun Dec 25 01:38:18 CET 2022","Sun Dec 25 01:38:23 CET 2022","5734","Notification e2e test","Notification page","with existing value","","","edit button click should load edit Notification page and save",""
"passed","Sun Dec 25 01:24:00 CET 2022","Sun Dec 25 01:24:02 CET 2022","2293","","Establishment e2e test","","","","Establishments menu should load Establishments page",""
"skipped","Sun Dec 25 01:13:23 CET 2022","Sun Dec 25 01:13:23 CET 2022","1","","login modal","","","","errors when password is incorrect",""
"failed","Sun Dec 25 01:29:48 CET 2022","Sun Dec 25 01:29:54 CET 2022","6183","Hospitalization e2e test","new Hospitalization page","","","","should create an instance of Hospitalization",""
"skipped","Sun Dec 25 01:18:03 CET 2022","Sun Dec 25 01:18:03 CET 2022","0","","forgot your password","","","","should be able to init reset password",""
"failed","Sun Dec 25 01:22:10 CET 2022","Sun Dec 25 01:22:19 CET 2022","8448","Alert e2e test","Alert page","create button click","","","should load create Alert page",""
"failed","Sun Dec 25 01:15:16 CET 2022","Sun Dec 25 01:15:22 CET 2022","5933","","/account/password","","","","should be able to update password",""
"failed","Sun Dec 25 01:38:01 CET 2022","Sun Dec 25 01:38:07 CET 2022","5488","Notification e2e test","Notification page","with existing value","","","edit button click should load edit Notification page and go back",""
"failed","Sun Dec 25 01:14:59 CET 2022","Sun Dec 25 01:15:05 CET 2022","5621","","/account/password","","","","should fail to update password when using incorrect current password",""
"failed","Sun Dec 25 01:41:40 CET 2022","Sun Dec 25 01:41:46 CET 2022","5987","Permission e2e test","Permission page","with existing value","","","edit button click should load edit Permission page and go back",""
"failed","Sun Dec 25 01:48:14 CET 2022","Sun Dec 25 01:48:20 CET 2022","6133","Staff e2e test","Staff page","with existing value","","","edit button click should load edit Staff page and save",""
"failed","Sun Dec 25 01:41:23 CET 2022","Sun Dec 25 01:41:29 CET 2022","5679","Permission e2e test","Permission page","with existing value","","","detail button click should load details Permission page",""
"failed","Sun Dec 25 01:47:57 CET 2022","Sun Dec 25 01:48:03 CET 2022","5770","Staff e2e test","Staff page","with existing value","","","edit button click should load edit Staff page and go back",""
"failed","Sun Dec 25 01:34:13 CET 2022","Sun Dec 25 01:34:19 CET 2022","5577","Message e2e test","Message page","with existing value","","","detail button click should load details Message page",""
"skipped","Sun Dec 25 01:13:23 CET 2022","Sun Dec 25 01:13:23 CET 2022","0","","login modal","","","","requires password",""
"failed","Sun Dec 25 01:18:49 CET 2022","Sun Dec 25 01:18:56 CET 2022","6718","","/account/settings","","","","should be able to change 'user' firstname settings",""
"failed","Sun Dec 25 01:26:38 CET 2022","Sun Dec 25 01:26:44 CET 2022","6350","Flag e2e test","Flag page","with existing value","","","detail button click should load details Flag page",""
"failed","Sun Dec 25 01:15:53 CET 2022","Sun Dec 25 01:15:58 CET 2022","4834","","/account/register","","","","should load the register page",""
